,source,active,quantity,quantity_annual,quantity_cumulative,cost,cost_annual,cost_cumulative,t_interval,consequence-cost
158,functional_failure,False,,,,,,,33.0,0.0
159,functional_failure,True,0.005,5.259199654996502e-06,0.030000000000000002,35.0,0.03681439758497552,210.0,33.0,0.0
160,inspection_groundline,False,,,,,,,33.0,0.0
161,inspection_groundline,True,1.0,0.0010518399309993006,22.22500000000001,50.0,0.05259199654996503,1111.25,33.0,0.0
162,inspection_protection,False,,,,,,,33.0,0.0
163,inspection_protection,True,1.0,0.0010518399309993006,78.94000000000003,0.0,0.0,0.0,33.0,0.0
164,pole_saver_rod,False,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0
165,pole_saver_rod,True,,,,,,,33.0,0.0
166,termite_treatment,False,,,,,,,33.0,0.0
167,termite_treatment,True,0.025,2.6295998274982512e-05,0.21000000000000002,2.5,0.002629599827498251,21.0,33.0,0.0
168,risk,False,,,,,,,36.0,0.0
169,risk,True,0.005,5.367254381021388e-06,0.05499999999999999,0.0,0.0,0.0,36.0,0.0
170,conditional_failure,False,,,,,,,36.0,0.0
171,conditional_failure,True,0.01,1.0734508762042777e-05,0.27500000000000013,35.0,0.037570780667149715,962.5,36.0,0.0
172,functional_failure,False,,,,,,,36.0,0.0
173,functional_failure,True,0.005,5.367254381021388e-06,0.05499999999999999,35.0,0.037570780667149715,385.0,36.0,0.0
174,inspection_groundline,False,,,,,,,36.0,0.0
175,inspection_groundline,True,0.995,0.0010680836218232564,19.769999999999996,49.75,0.053404181091162815,988.5,36.0,0.0
176,inspection_protection,False,,,,,,,36.0,0.0
177,inspection_protection,True,1.0,0.0010734508762042776,77.38000000000001,0.0,0.0,0.0,36.0,0.0
178,pole_saver_rod,False,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0
179,pole_saver_rod,True,,,,,,,36.0,0.0
180,termite_treatment,False,,,,,,,36.0,0.0
181,termite_treatment,True,0.03,3.220352628612833e-05,0.23000000000000004,3.0,0.003220352628612833,23.0,36.0,0.0
182,risk,False,,,,,,,39.0,0.0
183,risk,True,0.005,5.3386577546673214e-06,0.030000000000000002,0.0,0.0,0.0,39.0,0.0
184,conditional_failure,False,,,,,,,39.0,0.0
185,conditional_failure,True,0.015,1.6015973264001962e-05,0.24000000000000016,52.5,0.056055906424006874,840.0,39.0,0.0
186,functional_failure,False,,,,,,,39.0,0.0
187,functional_failure,True,0.005,5.3386577546673214e-06,0.030000000000000002,35.0,0.03737060428267125,210.0,39.0,0.0
188,inspection_groundline,False,,,,,,,39.0,0.0
189,inspection_groundline,True,0.98,0.0010463769199147949,18.43,49.0,0.05231884599573975,921.5,39.0,0.0
190,inspection_protection,False,,,,,,,39.0,0.0
191,inspection_protection,True,1.0,0.0010677315509334641,77.74999999999997,0.0,0.0,0.0,39.0,0.0
192,pole_saver_rod,False,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0
193,pole_saver_rod,True,,,,,,,39.0,0.0
194,termite_treatment,False,,,,,,,39.0,0.0
195,termite_treatment,True,0.02,2.1354631018669286e-05,0.21000000000000008,2.0,0.0021354631018669283,21.0,39.0,0.0
196,risk,False,,,,,,,42.0,0.0
197,risk,True,0.005,5.76292479959429e-06,0.05499999999999999,0.0,0.0,0.0,42.0,0.0
198,conditional_failure,False,,,,,,,42.0,0.0
199,conditional_failure,True,0.015,1.728877439878287e-05,0.23000000000000012,52.5,0.06051071039574005,805.0,42.0,0.0
200,functional_failure,False,,,,,,,42.0,0.0
201,functional_failure,True,0.005,5.76292479959429e-06,0.05499999999999999,35.0,0.04034047359716003,385.0,42.0,0.0
202,inspection_groundline,False,,,,,,,42.0,0.0
203,inspection_groundline,True,0.95,0.001094955711922915,15.599999999999996,47.5,0.05474778559614576,780.0,42.0,0.0
204,inspection_protection,False,,,,,,,42.0,0.0
205,inspection_protection,True,1.0,0.001152584959918858,71.96000000000004,0.0,0.0,0.0,42.0,0.0
206,pole_saver_rod,False,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0
207,pole_saver_rod,True,,,,,,,42.0,0.0
208,termite_treatment,False,,,,,,,42.0,0.0
209,termite_treatment,True,0.025,2.881462399797145e-05,0.20500000000000002,2.5,0.002881462399797145,20.5,42.0,0.0
210,risk,False,,,,,,,45.0,0.0
211,risk,True,0.005,5.381754774961924e-06,0.045,0.0,0.0,0.0,45.0,0.0
212,conditional_failure,False,,,,,,,45.0,0.0
213,conditional_failure,True,0.015,1.614526432488577e-05,0.28000000000000014,52.5,0.0565084251371002,980.0,45.0,0.0
214,functional_failure,False,,,,,,,45.0,0.0
215,functional_failure,True,0.005,5.381754774961924e-06,0.045,35.0,0.037672283424733465,315.0,45.0,0.0
216,inspection_groundline,False,,,,,,,45.0,0.0
217,inspection_groundline,True,0.99,0.001065587445442461,15.990000000000002,49.5,0.053279372272123045,799.5,45.0,0.0
218,inspection_protection,False,,,,,,,45.0,0.0
219,inspection_protection,True,1.0,0.0010763509549923847,77.1,0.0,0.0,0.0,45.0,0.0
220,pole_saver_rod,False,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0
221,pole_saver_rod,True,,,,,,,45.0,0.0
222,termite_treatment,False,,,,,,,45.0,0.0
223,termite_treatment,True,0.015,1.614526432488577e-05,0.17500000000000002,1.5,0.001614526432488577,17.5,45.0,0.0
224,risk,False,,,,,,,48.0,0.0
225,risk,True,0.005,5.389557193980942e-06,0.035,0.0,0.0,0.0,48.0,0.0
226,conditional_failure,False,,,,,,,48.0,0.0
227,conditional_failure,True,0.015,1.6168671581942826e-05,0.2600000000000001,52.5,0.056590350536799894,910.0,48.0,0.0
228,functional_failure,False,,,,,,,48.0,0.0
229,functional_failure,True,0.005,5.389557193980942e-06,0.035,35.0,0.0377269003578666,245.0,48.0,0.0
230,inspection_groundline,False,,,,,,,48.0,0.0
231,inspection_groundline,True,0.985,0.0010617427672142455,14.794999999999998,49.25,0.053087138360712285,739.75,48.0,0.0
232,inspection_protection,False,,,,,,,48.0,0.0
233,inspection_protection,True,1.0,0.0010779114387961884,77.07499999999995,0.0,0.0,0.0,48.0,0.0
234,pole_saver_rod,False,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0
235,pole_saver_rod,True,,,,,,,48.0,0.0
236,termite_treatment,False,,,,,,,48.0,0.0
237,termite_treatment,True,0.03,3.233734316388565e-05,0.2,3.0,0.0032337343163885653,20.0,48.0,0.0
238,risk,False,,,,,,,51.0,0.0
239,risk,True,0.005,5.494263988396114e-06,0.04,0.0,0.0,0.0,51.0,0.0
240,conditional_failure,False,,,,,,,51.0,0.0
241,conditional_failure,True,0.025,2.7471319941980575e-05,0.21000000000000013,87.5,0.09614961979693201,735.0,51.0,0.0
242,functional_failure,False,,,,,,,51.0,0.0
243,functional_failure,True,0.005,5.494263988396114e-06,0.04,35.0,0.0384598479187728,280.0,51.0,0.0
244,inspection_groundline,False,,,,,,,51.0,0.0
245,inspection_groundline,True,0.985,0.0010823700057140345,13.695,49.25,0.054118500285701726,684.75,51.0,0.0
246,inspection_protection,False,,,,,,,51.0,0.0
247,inspection_protection,True,1.0,0.001098852797679223,75.53500000000003,0.0,0.0,0.0,51.0,0.0
248,pole_saver_rod,False,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0
249,pole_saver_rod,True,,,,,,,51.0,0.0
250,termite_treatment,False,,,,,,,51.0,0.0
251,termite_treatment,True,0.025,2.7471319941980575e-05,0.20500000000000004,2.5,0.0027471319941980575,20.5,51.0,0.0
252,risk,False,,,,,,,54.0,0.0
253,risk,True,0.005,5.637550597016609e-06,0.045,0.0,0.0,0.0,54.0,0.0
254,conditional_failure,False,,,,,,,54.0,0.0
255,conditional_failure,True,0.02,2.2550202388066436e-05,0.2650000000000001,70.0,0.07892570835823252,927.5,54.0,0.0
256,functional_failure,False,,,,,,,54.0,0.0
257,functional_failure,True,0.005,5.637550597016609e-06,0.045,35.0,0.03946285417911626,315.0,54.0,0.0
258,inspection_groundline,False,,,,,,,54.0,0.0
259,inspection_groundline,True,0.975,0.0010993223664182386,12.549999999999997,48.75,0.05496611832091193,627.5,54.0,0.0
260,inspection_protection,False,,,,,,,54.0,0.0
261,inspection_protection,True,1.0,0.0011275101194033216,73.59000000000002,0.0,0.0,0.0,54.0,0.0
262,pole_saver_rod,False,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0
263,pole_saver_rod,True,,,,,,,54.0,0.0
264,termite_treatment,False,,,,,,,54.0,0.0
265,termite_treatment,True,0.03,3.382530358209965e-05,0.13,3.0,0.003382530358209965,13.0,54.0,0.0
266,risk,False,,,,,,,57.0,0.0
267,risk,True,0.005,5.579858941165967e-06,0.04,0.0,0.0,0.0,57.0,0.0
268,conditional_failure,False,,,,,,,57.0,0.0
269,conditional_failure,True,0.02,2.231943576466387e-05,0.2300000000000001,70.0,0.07811802517632353,805.0,57.0,0.0
270,functional_failure,False,,,,,,,57.0,0.0
271,functional_failure,True,0.005,5.579858941165967e-06,0.04,35.0,0.039059012588161766,280.0,57.0,0.0
272,inspection_groundline,False,,,,,,,57.0,0.0
273,inspection_groundline,True,0.96,0.0010713329167038657,12.1,48.0,0.053566645835193286,605.0,57.0,0.0
274,inspection_protection,False,,,,,,,57.0,0.0
275,inspection_protection,True,1.0,0.0011159717882331934,74.35000000000004,0.0,0.0,0.0,57.0,0.0
276,pole_saver_rod,False,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0
277,pole_saver_rod,True,,,,,,,57.0,0.0
278,termite_treatment,False,,,,,,,57.0,0.0
279,termite_treatment,True,0.025,2.7899294705829837e-05,0.18000000000000005,2.5,0.0027899294705829836,18.0,57.0,0.0
280,risk,False,,,,,,,60.0,0.0
281,risk,True,0.005,5.612018699246305e-06,0.030000000000000002,0.0,0.0,0.0,60.0,0.0
282,conditional_failure,False,,,,,,,60.0,0.0
283,conditional_failure,True,0.035,3.928413089472414e-05,0.29000000000000015,122.50000000000001,0.1374944581315345,1015.0,60.0,0.0
284,functional_failure,False,,,,,,,60.0,0.0
285,functional_failure,True,0.005,5.612018699246305e-06,0.030000000000000002,35.0,0.03928413089472414,210.0,60.0,0.0
286,inspection_groundline,False,,,,,,,60.0,0.0
287,inspection_groundline,True,0.98,0.001099955665052276,11.349999999999998,49.0,0.05499778325261379,567.5,60.0,0.0
